raison_sociale;adresse_complete;cp_ville;lat;lng
HOPITAL DE JOUR ENTRAIDE UNIVERSITAIRE;13 R DU SAHEL;75012 PARIS;48.8411357;2.4027729
CATTP VERDUN;18 AV DE VERDUN;93130 NOISY LE SEC;48.8956126;2.4561274
MAISON DE SANTE NOGENT S/MARNE;30 R DE PLAISANCE;94736 NOGENT SUR MARNE CEDEX;48.8436079;2.4897296
CENTRE MEDICO PSYCHOLOGIQUE;1 R LEPINE;93500 PANTIN;48.8944393;2.4198234
POLYCLINIQUE SAINT-JEAN;41 AV DE CORBEIL;77000 MELUN;48.5481778;2.6453132
INSTITUT MÉDICAL DE SERRIS;2 CRS DU RHIN;77700 SERRIS;48.8575318;2.7830024
CTRE READAPTATION CARDIAQUE DE LA BRIE;27 R SAINTE CHRISTINE;77174 VILLENEUVE ST DENIS;48.8163605;2.7958244
CTR MED. DE REEDUCATION APARC;66 R NATIONALE;78710 ROSNY SUR SEINE;49.0006258;1.6323825
CMP + CATTP 78I07;10 R AMPERE;78130 LES MUREAUX;48.9983161;1.9150279
HOPITAL DE JOUR SECT 78 I 2;1 R DES CHASSES MAREES;78700 CONFLANS STE HONORINE;49.0081383;2.115036
HOPITAL DE JOUR 91G14;44 R DE PARIS;91400 ORSAY;48.6967075;2.1893213
MAISON THERAPEUTIQUE;10 BD DES PYRENEES;92160 ANTONY;48.7355063;2.2781759
CENTRE ADULTE BONNET;11 AV DU COLONEL BONNET;75016 PARIS;48.8554944;2.2782396
CLINIQUE BLOMET;136B R BLOMET;75015 PARIS;48.8394852;2.2961015
HOPITAL LEOPOLD BELLAN;19 R VERCINGETORIX;75014 PARIS;48.8373764;2.3200169
HOP JOUR CROIX ST SIMON;89 R HAXO;75020 PARIS;48.8747633;2.4030507
INSTITUT CURIE-CENTRE RENE HUGUENIN;35 R DAILLY;92210 ST CLOUD;48.8448141;2.2176526
CMP ESPACE FAMILLE 92 92G14;127 AV J.BAPTISTE CLEMENT;92100 BOULOGNE BILLANCOURT;48.8428792;2.2313306
CMP PERI;40 R GABRIEL PERI;95130 LE PLESSIS BOUCHARD;49.0011178;2.2401692
HOPITAL AMERICAIN;63 BD VICTOR HUGO;92202 NEUILLY SUR SEINE CEDEX;48.8932795;2.2733115
C.M.P. INFANTO-JUVENILE;7 R BENSERADE;94250 GENTILLY;48.8104419;2.3478515
CENTRE DE L'HORLOGE;14 R BRANTOME;75003 PARIS;48.862438;2.353097
UHME  LA POMME;4 R CHARLES LAUTH;75018 PARIS;48.8989806;2.3683833
HOPITAL SAINT-ANTOINE (AP-HP);184 R DU FAUBOURG SAINT ANTOINE;75571 PARIS CEDEX 12;48.850251;2.3829799
CENTRE MEDICO PSYCH.G.ROULAUD;R SALENGRO;93700 DRANCY;48.9189701;2.4369562
CENTRE MEDICO-PSYCHOLOGIQUE;10 R DU PRESSOIR;93190 LIVRY GARGAN;48.9212726;2.5453403
"CTRE GERIAT.LONG SEJOUR ""LES ORMES""";13 PL JEAN MERMOZ;93370 MONTFERMEIL;48.901996;2.5717252
HOPITAL DE JOUR 77  I-05;2B R D'ORGEMONT;77104 MEAUX CEDEX;48.9558243;2.8696165
APPARTEMENT THERAP CLAUDE BERNARD;61 R CLAUDE BERNARD;95870 BEZONS;48.924101;2.2088354
HJ ADO LE SUD EST;5 BD LE SUD EST;92000 NANTERRE;48.892423;2.215331
CENTRE CHIRURGICAL MARIE LANNELONGUE;133 AV DE LA RESISTANCE;92350 LE PLESSIS ROBINSON;48.7830933;2.2740917
HÔPITAL DE JOUR AURORE;35 R DES CEVENNES;75015 PARIS;48.8434072;2.2788163
CMP ENFANTS 92I07 (J.P. TIMBAUD);25 R J.P TIMBAUD;92320 CHATILLON;48.80278;2.2855
CMP ENFANTS GRENELLE;164 R DE GRENELLE;75007 PARIS;48.8580522;2.3089662
CTRE ACTIVITE THERAP. (VENT DU LARGE);44 R CARVES;92120 MONTROUGE;48.8124254;2.3225848
HOPITAL DE JOUR G07;24 R DE ROSSAYS;91600 SAVIGNY SUR ORGE;48.673326;2.3521518
CLINIQUE MEDICO-UNIVERSITAIRE G.HEUYER;68 R DES GRANDS MOULINS;75013 PARIS;48.8273832;2.3754926
HOPITAL DE JOUR ALFORTVILLE;54 R EDOUARD VAILLANT;94140 ALFORTVILLE;48.8110919;2.4178193
CMP RABELAIS;91 BD RABELAIS;94100 ST MAUR DES FOSSES;48.805441;2.4832421
APPARTEMENT THERAPEUTIQUE;1 ALL DES SAPINS;93600 AULNAY SOUS BOIS;48.9471593;2.5059293
CENTRE CARDIOLOGIQUE D'EVECQUEMONT;2 R DES CARRIERES;78740 EVECQUEMONT;49.0105773;1.9359557
CENTRE GERIATRIQUE D. FORESTIER;AV GEORGES LAPIERRE;78320 LA VERRIERE;48.7513877;1.9431513
KORIAN LE PONT;27 R DE VILLENEUVE;95870 BEZONS;48.9258409;2.2151993
APPARTEMENT THERAPEUTIQUE PREBUARD;41 R PREBUARD;95100 ARGENTEUIL;48.9388891;2.2232245
CATTP  95G 03;17 R DE LA PETITE BAPAUME;95120 ERMONT;48.9921666;2.2566863
CENTRE PSYCHOTHERAPIQUE LES OLIVIERS;RTE DE NOISY;95260 BEAUMONT SUR OISE;49.144338;2.290411
ATELIER THERAPEUTIQUE LE FLEURON;25 R CHARLES FOURRIER;75013 PARIS;48.8250138;2.3513743
CENTRE DE LONG SEJOUR DANIELE CASANOVA;11 R DANIELE CASANOVA;93205 ST DENIS CEDEX;48.9299208;2.3607143
CENTRE MEDICO-PSYCH.CARNOT;17 R CARNOT;93230 ROMAINVILLE;48.8848289;2.4378156
C.M.P.PSY.INFANTO-JUV.-NOGENT/M;15 BD GALLIENI;94130 NOGENT SUR MARNE;48.8399595;2.4846534
CENTRE DE READAPTION FONCTIONNELLE;15 AV MONTRICHARD;94354 VILLIERS SUR MARNE CEDEX;48.8298769;2.550814
APPARTEMENT THERAPEUT.CH LAGNY;2 R ANATOLE FRANCE;77186 NOISIEL;48.8529364;2.6245228
HOPITAL DE JOUR SECT 78I01;86 RTE DE MANTES;78200 BUCHELAY;48.9786536;1.6824642
HOPITAL DE JOUR  LA RENCONTRE 78 I 07;1 RLE SAINTE AVOYE;78250 MEULAN;49.007136;1.9096322
CHI DE MEULAN / LES MUREAUX;1 R DU FORT;78250 MEULAN;49.0032305;1.9100263
FOYER THERAPEUTIQUE 78G08;60 BD EMILE ZOLA;78800 HOUILLES;48.9245396;2.1999806
HOPITAL DE JOUR ST CLOUD SECTEUR 92I04;3 R TAHERE;92210 ST CLOUD;48.8462948;2.213078
HAD 92G05;403 AV DE LA RÉPUBLIQUE;92000 NANTERRE;48.9122171;2.2236494
APPARTEMENTS THERAPEUTIQUES;41 R SAINT-DENIS;92100 BOULOGNE BILLANCOURT;48.8457559;2.2321347
HOPITAL AMBROISE PARE (AP-HP);9 AV CHARLES DE GAULLE;92104 BOULOGNE BILLANCOURT CEDEX;48.8489223;2.2372609
CLINIQUE DE LA PORTE  ST-CLOUD;30 R DE PARIS;92100 BOULOGNE BILLANCOURT;48.839595;2.2480733
S.M.P.R. DE FRESNES;1 ALL DES THUYAS;94261 FRESNES CEDEX;48.7655365;2.3195973
HOPITAL BICHAT;46 R HENRI HUCHARD;75877 PARIS CEDEX 18;48.8990394;2.3295922
CENTRE MEDICO-PSY. 91 I01;16 R LUISANT;91310 MONTLHERY;48.639619;2.2686514
UNITE D'HOSPIT AVRON M. BLANCHE;129 R D'AVRON;75020 PARIS;48.8532632;2.4091872
CENTRE GILBERT RABY;2 AV DU MARECHAL JOFFRE;78250 MEULAN;49.0077886;1.9283484
CLINIQUE DE L'OSERAIE;4 R ALEXANDRE FLEMING;95520 OSNY;49.0700239;2.062715
CENTRE MEDICO PSYCHOLOGIQUE;PL PIERRE BEREGOVOY;78114 MAGNY LES HAMEAUX;48.7241377;2.0836433
CLINIQUE MED.DIETETIQUE GERONTOLOGIQUE;AV GASTON DE LEVIS;95304 CERGY PONTOISE CEDEX;49.077;2.104678
CMP LA CHATAIGNERAIE;7 R DU JURA;91940 LES ULIS;48.6832823;2.1785205
CTRE MEDICO PSY SECT.;9B R CHARLES DE GAULLE;78800 HOUILLES;48.9213955;2.185832
CTRE LONG SEJOUR DU CH ST-CLOUD;1 R LELEGARD;92211 ST CLOUD CEDEX;48.8418724;2.2030411
CLINIQUE DE LA MUETTE;46 R NICOLO;75116 PARIS;48.8603562;2.2777603
CMP ENFANTS TIPHAINE  (NECKER);23 R TIPHAINE;75015 PARIS;48.8488179;2.2964935
CENTRE RENE CAPITANT;8 R LANNEAU;75005 PARIS;48.8483432;2.3466214
HOPITAL DE JOUR BOULLOCHE CEREP;56 R DU FBG POISSONNIÈRE;75010 PARIS;48.8749754;2.3481136
CENTRE DE CRISE ROQUETTE;63 R DE LA ROQUETTE;75011 PARIS;48.8558373;2.3752069
CENTRE MEDICO-PSYCHOLOGIQUE 94G11;9 R AUDIGEOIS;94400 VITRY SUR SEINE;48.7917808;2.3888054
CENTRE DE MOYEN SEJOUR RIS ORANGIS;55 R ALBERT REMY;91130 RIS ORANGIS;48.6570705;2.4076579
MAISON SANTE CHIRURGICALE;17 R DE L'EGLISE;94190 VILLENEUVE ST GEORGES;48.7268227;2.4472805
UNITE CLINIQUE VIVALDI;8 R DES BAS COUDRAY;91100 CORBEIL ESSONNES;48.6046447;2.4851745
CATTP DE MAGNY;31 R CARNOT;95420 MAGNY EN VEXIN;49.1543479;1.7845466
HÔP. GÉRONTOLOGIQUE & MED-SOC PLAISIR;220 R MANSART;78375 PLAISIR CEDEX;48.8253391;1.9392303
HOPITAL DE JOUR  ELANCOURT 78I05;6 R DU GANDOUGET;78990 ELANCOURT;48.7748318;1.9456157
CLINIQUE CHIRURGICALE DU VAL D'OR;16 R PASTEUR;92211 ST CLOUD CEDEX;48.8421464;2.204527
HOPITAL PRIVÉ DE PARIS - ESSONNE;12 BD PIERRE BROSSOLETTE;91290 ARPAJON;48.5931082;2.249001
MAISON MEDICALE JEANNE GARNIER;106 AV EMILE ZOLA;75015 PARIS;48.8466393;2.2897932
"CATTP ""LE PATIO"" CHAMPLAN";6 RTE DE VERSAILLES;91160 CHAMPLAN;48.6989992;2.2910865
CLINIQUE VICTOR HUGO;5B R DU DOME;75016 PARIS;48.8713798;2.2913808
HOPITAL DE JOUR SANTOS-DUMONT;25 VLA SANTOS DUMONT;75015 PARIS;48.8337932;2.3049715
FOYER DE POST CURE MONTROUGE;61 AV VERDIER;92120 MONTROUGE;48.8159032;2.3134679
GPE HOSP BROUSSAIS-HEGP;96 R DIDOT;75014 PARIS;48.8272791;2.3144097
CENTRE PASTEUR VALLERY RADOT;68 R DES PLANTES;75014 PARIS;48.8264869;2.3198741
HOPITAL SAINT-CAMILLE - BRY S/M;2 R DES PERES CAMILLIENS;94366 BRY SUR MARNE CEDEX;48.8332434;2.5279568
CENTRE MEDICO-PSY. 91 G 11;RES LES BUISSONS BAT C;91800 BOUSSY ST ANTOINE;48.6892489;2.530174
CENTRE MEDICO-PSYCH.LEFEBVRE;7 ALL VALERE LEFEBVRE;93340 LE RAINCY;48.8989776;2.5102921
CTRE  MED. PEDAGOGIQUE  VARENNES-JARCY;29 R DE LA LIBERATION;91480 VARENNES JARCY;48.6771306;2.5579584
CMP ENFANTS 92I01 (C. DESMOULIN);7 R CAMILLE DESMOULINS;92300 LEVALLOIS PERRET;48.8888994;2.2843171
HOPITAL DE JOUR ETIENNE MARCEL;3 CITE D'ANGOULEME;75011 PARIS;48.8666778;2.3747399
CLINIQUE DU MONT-LOUIS;8 R DE LA FOLIE-REGNAULT;75011 PARIS;48.860619;2.3867825
CLINIQUE DU BOURGET;7 R RIGAUD;93350 LE BOURGET;48.9330587;2.4211634
SAFT RUE DE PARIS ETAMPES;41 AV DE PARIS;91150 ETAMPES;48.4390958;2.1676274
CENTRE MEDICO PSY.SECT.78 G 14;27 R COSTES ET BELLONTE;78220 VIROFLAY;48.8019744;2.1716631
CMP ADU-ENF 92G14 & 92I05 (PELLOUTIER);31 R FERNAND PELLOUTIER;92100 BOULOGNE BILLANCOURT;48.8342287;2.2344891
HOPITAL LOUIS MOURIER (AP-HP);178 R DES RENOUILLIERS;92701 COLOMBES CEDEX;48.9235629;2.2363296
CMP 92I07 ENFANTS;25 R JEAN-PIERRE TIMBAUD;92320 CHATILLON;48.80278;2.2855
HOPITAL VAUGIRARD (AP-HP);10 R VAUGELAS;75015 PARIS;48.8341938;2.2943108
HOPITAL DE JOUR ROQUETTE;63 R DE LA ROQUETTE;75011 PARIS;48.8558373;2.3752069
CMP REBEVAL INFANTO-JUVENIL;45 R REBEVAL;75019 PARIS;48.8748661;2.3792821
CMP ADULTES LESPAGNOL;3 R LESPAGNOL;75020 PARIS;48.8583921;2.3921466
CENTRE PABLO PICASSO;1 R PABLO PICASSO;94600 CHOISY LE ROI;48.7665452;2.4093323
HOPITAL PEDIATRIE REEDUCATION BULLION;RTE DE LONGCHENE;78830 BULLION;48.6328837;2.010357
CMP 91 G 01 ETAMPES;18 R DE LA RÉPUBLIQUE;91150 ETAMPES;48.4352178;2.1631052
CTRE LA GALIOTE 95G06;16 SQ D'AQUITAINE;95100 ARGENTEUIL;48.9980795;2.2121611
CMP ENFANTS 92I01 (DE GAULLE);12B R GRANDE RUE CH. DE GAULLE;92600 ASNIERES SUR SEINE;48.914155;2.285369
CTRE PSYCHOTHERAPIQUE DE JOUR FONTENAY;45 AV GABRIEL PERI;92260 FONTENAY AUX ROSES;48.7886696;2.2988508
CLINIQUE DE L'YVETTE;67 RTE DE CORBEIL;91160 LONGJUMEAU;48.6887759;2.3023499
CTRE LONG SEJOUR FONDATION ROGUET;58 R GEORGES BOISSEAU;92110 CLICHY;48.9068165;2.3134686
MAISON DE SANTE D'EPINAY SUR SEINE;1 PL DOCTEUR JEAN TARRIUS;93806 EPINAY SUR SEINE CEDEX;48.9502738;2.3187749
CLINIQUE DES TOURNELLES;15 R DES TOURNELLES;94240 L HAY LES ROSES;48.7778976;2.3360841
HOPITAL DE JOUR GERONTOPSYCHIATRIQUE;155 BD VINCENT AURIOL;75013 PARIS;48.8324153;2.3614805
CENTRE MEDICO PSYCHOLOGIQUE;24 AV DE STALINGRAD;93240 STAINS;48.948062;2.3776972
CENTRE JAURES 94G10 CHTN;4 AV TOUR JEAN JAURES;94600 CHOISY LE ROI;48.762541;2.4088759
HOPITAL AVICENNE (AP-HP);125 R DE STALINGRAD;93009 BOBIGNY CEDEX;48.9151135;2.4244092
POLYCLINIQUE VILLENEUVE-SAINT-GEORGES;47 R DE CROSNE;94195 VILLENEUVE S GEORGES CEDEX;48.7239371;2.4476459
INSTITUT ROBERT MERLE D'AUBIGNE;2 R DU PARC;94460 VALENTON;48.7511035;2.4649999
CENTRE MEDICO-PSYCHO.VEDRINES;1 ALL JULES VERDRINE;93390 CLICHY SOUS BOIS;48.910899;2.546147
APPARTEMENT THERAPEUTIQUE;AV MENDES FRANCE;77550 MOISSY CRAMAYEL;48.5963045;2.5741925
CMP 78G01;222 BD DU MARECHAL JUIN;78200 MANTES LA JOLIE;48.9946588;1.6947573
HOPITAL DE JOUR SECT 78G10;33 BD THIERS;78250 MEULAN;49.0067219;1.9226492
CLINIQUE MEDICALE DU CHATEAU D'HERBLAY;50 R DE PARIS;95220 HERBLAY;48.9920532;2.1700779
MAISON MEDICALE N.D. DU LAC RUEIL;2 R DE ZURICH;92500 RUEIL MALMAISON;48.8705647;2.184211
SCE HOSPITALIER FREDERIC JOLIOT;4 PL DU GENERAL LECLERC;91400 ORSAY;48.69867;2.1872302
HOP EUROPEEN GEORGES POMPIDOU HEGP;20 R LEBLANC;75908 PARIS CEDEX 15;48.839737;2.2728302
HOPITAL DE JOUR MGEN-WAGRAM;152 AV DE WAGRAM;75017 PARIS;48.8865064;2.304545
CTRE LONG MOYEN SEJOUR FOND ROGUET;58 R GEORGES BOISSEAU;92110 CLICHY;48.9068165;2.3134686
HOPITAL PRIVE NORD PARISIEN;3 BD DE LATTRE DE TASSIGNY;95200 SARCELLES;48.9810152;2.3783177
CMP ADULTE VALMY;4 R CADRAN;94220 CHARENTON LE PONT;48.8207578;2.4125168
UNITE INFANTO JUV 92I03 MONTREUIL;56 BD DE LA BOISSIERE;93100 MONTREUIL;48.878406;2.4533091
CTRE MEDICO PSYCHO.NEUBURGER;21 PL NEUBURGER;93140 BONDY;48.9032216;2.4914071
CTRE MEDICO-PSY    ( HOP A CHENEVIER);4 PL DE LA CHENAIE;94470 BOISSY ST LEGER;48.7543354;2.4982443
CENTRE MEDICO-PSYCH.TAINTURIER;6 R TAINTURIER;93220 GAGNY;48.8829661;2.5343144
CLINIQUE MEDICO-CHIRURG. LES FONTAINES;54 BD ARISTIDE BRIAND;77007 MELUN CEDEX;48.5430882;2.6496732
CTRE MEDICO PSYCHOLOGIQUE 78G13;2 PAS ROCHE;78000 VERSAILLES;48.809992;2.1368604
HOPITAL DE JOUR LA MAYOTTE;165 R DE PARIS;95680 MONTLIGNON;49.0179888;2.2899214
CMP EPINAY SUR SEINE;48 R D'ENGHIEN;93800 EPINAY SUR SEINE;48.9598723;2.3076444
UNITÉ INTERSECT. DE THÉRAPIE FAMILIALE;7 R PAUL LANGEVIN;91700 STE GENEVIEVE DES BOIS;48.6282568;2.3337275
CLINALLIANCE PARIS BUTTES CHAUMONT;39 R FESSART;75019 PARIS;48.8767242;2.3846421
CENTRE ACCUEIL THERAPEUTIQUE;R DU CLOS BERNARD;93300 AUBERVILLIERS;48.9110482;2.386525
CENTRE MEDICO-PSY. 91 G 13;2 R DU CHEMIN DE FER;91000 EVRY;48.6267229;2.4537219
CTRE MEDICO-PSYCHOL.ENF.& ADOL.;3 R MARCEL DEBOFF;93150 LE BLANC MESNIL;48.937644;2.4601349
UNITÉ PSYCHIATRIQUE GALIGNANI;15 BD HENRI DUNANT;91106 CORBEIL ESSONNES CEDEX;48.604184;2.4821327
HOPITAL PRIVE DE L'EST PARISIEN;11 AV DE LA REPUBLIQUE;93604 AULNAY SOUS BOIS CEDEX;48.9292015;2.4962235
ETAB. HOSPITALIER STE-MARIE;28 R DE L'EGLISE;93420 VILLEPINTE;48.9637631;2.5362777
CENTRE MEDICAL DE FORCILLES;LD FORCILLES;77150 FEROLLES ATTILLY;48.7343819;2.634358
CENTRE MEDICO-PSYCHOLOGIQUE;1 R DE BEAUREGARD;77140 NEMOURS;48.2631941;2.6997943
CTRE MEDICO PSYCHOLOGIQUE 78G11-I04;1 R RAYMOND LEFEVRE;78210 ST CYR L ECOLE;48.8053477;2.0628259
HOPITAL DE JOUR 92G13 ST CLOUD;21 R DU CALVAIRE;92210 ST CLOUD;48.847174;2.2183761
HJ LA PIERRE AUX MOINES CLAMART;58 R DU PAVE BLANC;92140 CLAMART;48.7841081;2.2382014
CLINIQUE MEDICALE DE VILLIERS SUR ORGE;43 R VERDUN;91700 VILLIERS SUR ORGE;48.653134;2.2900824
ACCUEIL FAMILIAL THERAPEUTIQUE;2 R DANTON;92230 GENNEVILLIERS;48.9171391;2.2975581
CLINIQUE STE-THERESE;9 R GUSTAVE DORE;75017 PARIS;48.886526;2.3024255
CMP 92I07 ENFANTS;64 R DES MEUNIERS;92220 BAGNEUX;48.7977862;2.3152535
CMP ADULTES RENE CAPITANT;8 R LANNEAU;75005 PARIS;48.8483432;2.3466214
CMP ENFANTS SOCIETE PHILANTHROPIQUE;20 R CHAMPIONNET;75018 PARIS;48.8951518;2.3515583
GPE HOSP LARIBOISIERE-FERNAND WIDAL;200 R FAUBOURG SAINT-DENIS;75010 PARIS;48.8817067;2.3584552
HOPITAL EMILE ROUX (AP-HP);1 AV DE VERDUN;94456 LIMEIL BREVANNES CEDEX;48.7502491;2.4828814
CTRE MEDICO-PSYCHOLOGIQUE 95I01;17 R JEAN LECLAIRE;95220 HERBLAY;48.9932859;2.1625544
CLINIQUE LES MARTINETS;97 AV ALBERT PREMIER;92500 RUEIL MALMAISON;48.885131;2.1725512
HOSPITALISATION A DOMICILE AP- HP;14 R VESALE;75005 PARIS;48.837893;2.3521788
CENTRE DE CRISE CHU BICETRE;78 R DU GENERAL LECLERC;94270 LE KREMLIN BICETRE;48.8099009;2.3573942
C.M.PSY.ADULTES-CHIV-VILLENEUVE;6 AV DE LA REPUBLIQUE;94290 VILLENEUVE LE ROI;48.7309787;2.4243026
UNITE CLINIQUE CAMILLE CLAUDEL;194 AV HENRI BARBUSSE;91270 VIGNEUX SUR SEINE;48.7039461;2.4342562
PLACEMENT FAMILIAL DU CHI VILLENEUVE;8 R DES VIGNES;94190 VILLENEUVE ST GEORGES;48.7315922;2.450506
HOPITAL DE JOUR 93G05 DRANCY;1 R DE LA SOURCE;93700 DRANCY;48.9179262;2.4507154
CENTRE MEDICO-PSYCHO.LEBAS;2 AV JEAN LEBAS;93140 BONDY;48.9122321;2.4811445
HOPITAL DE JOUR POUR ENFANTS;ALL DES ENFANTS;77200 TORCY;48.8519453;2.6365043
HOPITAL DE JOUR DE PSYCHIATRIE;56 R SAINT FARON;77100 MEAUX;48.9650627;2.8832435
CTRE MEDICO-PSYCHOLOGIQUE 77G04;24 R PASTEUR;77370 NANGIS;48.5572487;3.0118719
CENTRE MEDICO-PSYCHOLOGIQUE;8 R MOZART;78200 MANTES LA JOLIE;48.9981787;1.6793431
"CATTP ""ETINCELLE""";26 BD BERCHERE;91150 ETAMPES;48.4318714;2.1618196
"HOPITAL DE JOUR ""LE PARC""NANTERRE I03";41 R VIOLANT;92000 NANTERRE;48.8925542;2.1972773
HOPITAL FOCH;40 R WORTH;92151 SURESNES CEDEX;48.8714063;2.2213729
HÔPITAL - FONDATION CHANTEPIE-MANCIER;9 R CHANTEPIE MANCIER;95290 L ISLE ADAM;49.1136038;2.2233553
CENTRE  PICOT;6 R PICOT;75116 PARIS;48.8709172;2.2821631
CENTRE ENFANTS CORENTIN;22 R DU PERE CORENTIN;75014 PARIS;48.8262492;2.3307716
POLYCLINIQUE PSYCHIATRIQUE WÜRTZ;10 R WURTZ;75013 PARIS;48.8273142;2.3450518
CTRE DE REEDUC. KORIAN L'OBSERVATOIRE;33 AV DE LA COUR DE FRANCE;91260 JUVISY SUR ORGE;48.6923341;2.370521
CENTRE MEDICO PSYCHOLOGIQUE;29 AV DU GENERAL LECLERC;93120 LA COURNEUVE;48.9253556;2.3834181
CATTP GEORGES PEREC;12 R DU VAL D'OSNE;94410 ST MAURICE;48.8201716;2.4233788
CH SUD FRANCILIEN SITE JEAN JAURES;116 BD JEAN JAURES;91100 CORBEIL ESSONNES;48.6146389;2.4580177
CLINIQUE MEDICO-CHIRURGICALE DU LOUVRE;17 R DES PRETRES SAINT GERMAIN;75001 PARIS;48.8592238;2.3411803
CMP HUGO;9 R VICTOR HUGO;94700 MAISONS ALFORT;48.8013323;2.433051
HOPITAL DE JOUR 94G04 VILLIERS;12 R DE CHENNEVIERES;94350 VILLIERS SUR MARNE;48.818832;2.5392128
HOPITAL DE JOUR PAUL SIVADON;57 R ST LAURENT;77400 LAGNY SUR MARNE;48.8726882;2.7064268
SERVICE D'HOSPITALISATION A DOMICILE;20 AV DE LA CONCORDE;77100 MEAUX;48.9513558;2.9105034
CMP ENFANTS - A.D.H.M.I;26 BD BRUNE;75014 PARIS;48.8270097;2.3077751
CTRE MEDICO-PSYCHOLOGIQUE 94I06;71B AV DU PDT ROOSEVELT;94550 CHEVILLY LARUE;48.7700254;2.3646671
CENTRE MEDICO-PSYCHOLOGIQUE G09;66 AV MARX DORMOY;95200 SARCELLES;49.0035293;2.3820346
CENTRE MEDICO-PSYCH.E.PECHEUX;5 R ERNEST PECHEUX;93460 GOURNAY SUR MARNE;48.8642322;2.579751
CENTRE LELOUP;20 R MARCELINE LELOUP;77176 SAVIGNY LE TEMPLE;48.5945621;2.5835
CLINIQUE MEDICALE DU PARC;23 R DES FRERES CAPUCINS;95310 ST OUEN L AUMONE;49.0417139;2.10964
MAISON THERAPEUTIQUE;R MOLIERE;78000 VERSAILLES;48.7942048;2.1485287
CENTRE CHATEAU DU GRAND MESNIL;2 R CHARLES DE GAULLE;91440 BURES SUR YVETTE;48.6968957;2.1676256
"CATTP 92I05 ENFANTS ""CHEVAL AGILE""";1713 AV ROGER SALENGRO;92370 CHAVILLE;48.8075534;2.1866766
CATTP;165 AV FELIX FAURE;92800 PUTEAUX;48.8828938;2.2232646
CMP 92I05 ADOLESCENTS;11 R DE LA RÉPUBLIQUE;92190 MEUDON;48.8104118;2.2364575
H.J. ATELIER THERAP (ELAN RETROUVE);23 R MARCELIN BERTHELOT;92700 COLOMBES;48.9285559;2.2562995
GPE HOSP. STE PERINE / LAGACHE (AP-HP);11 R CHARDON LAGACHE;75016 PARIS;48.8449824;2.2668309
CMP 92I06 ENFANTS;1B R ARISTIDE BRIAND;92170 VANVES;48.8185224;2.2892309
HDJ / CMP / CATTP 92G21;79 R PROSPER LEGOUTE;92160 ANTONY;48.7446642;2.2961096
ACCUEIL THERAPEUTIQUE ADOLESCENTS;5 R CLAUZEL;75009 PARIS;48.8789746;2.3391798
HOPITAL BROCA (AP-HP);54 R PASCAL;75013 PARIS;48.8340632;2.347548
CENTRE VICTOR SMIRNOFF;22 BD SEBASTOPOL;75004 PARIS;48.8604368;2.3494433
CENTRE RIVOLI;10 R RIVOLI;75004 PARIS;48.8554689;2.3604543
CENTRE MEDICO-PSYCHOLOGIQUE;5 PL VICTOR HUGO;94270 LE KREMLIN BICETRE;48.8092003;2.3606982
CMP ENFANTS OPÉRA SAINT LAURENT;120 QU DE JEMMAPES;75010 PARIS;48.8751735;2.3641778
C.M.PSY.INFANTO-JUVENILE 94I04;65 AV DE LA REPUBLIQUE;94290 VILLENEUVE LE ROI;48.7317644;2.4121111
CMP JOYEUSE;18 AV JOYEUSE;94340 JOINVILLE LE PONT;48.818783;2.4764719
APPARTEMENT THERAPEUTIQUE CLICHY;443 AV VICTOR HUGO;93390 CLICHY SOUS BOIS;48.90758;2.5443273
HOPITAL DE JOUR 94G03 CHAMPIGNY;67 AV DU PARC;94500 CHAMPIGNY SUR MARNE;48.8132748;2.5530621
CENTRE MEDICO PSY.SECT.78-I-04;3 R MARCEAU;78210 ST CYR L ECOLE;48.8026898;2.0614829
LONG SEJOUR LES MAISONNEES;10 R DU CHAMP GAILLARD;78300 POISSY;48.9194648;2.0219685
CLINIQUE SAINTE-MARIE;1 R CHRISTIAN BARNARD;95520 OSNY;49.0730709;2.0760165
APPARTEMENT THERAPEUTIQUE G-02;57 R DE GEROFOSSE;91150 ETAMPES;48.42541;2.1671982
CATTP NIOX;11 R GÉNÉRAL NIOX;75016 PARIS;48.8367474;2.2625375
H. JOUR GOMBAULT-DARNAUD;24 R BAYEN;75017 PARIS;48.8806133;2.2941411
CLINIQUE COURCELLES-HAUSSMANN;37 R DE COURCELLES;75008 PARIS;48.8755357;2.3086774
CENTRE ALÉSIA;145B R D'ALÉSIA;75014 PARIS;48.8299483;2.3206472
CMP ENFANTS JOURDAN  IMM;42 BD JOURDAN;75014 PARIS;48.8218125;2.3325274
CMP ENFANTS AP-HP BICHAT 75I12;64 R RENE BINET;75018 PARIS;48.8991572;2.3366828
CATTP L'ANCRE;8 R GEORGES SAND;91260 JUVISY SUR ORGE;48.6895275;2.384712
CMP INF-JUV LES TERRASSES;10 PROM DES TERRASSES;94200 IVRY SUR SEINE;48.813055;2.38822
HOPITAL TENON (AP-HP);4 R DE LA CHINE;75970 PARIS CEDEX 20;48.8658578;2.4010043
CATTP DE NOGENT 94G02;66 R DE COULMIERS;94130 NOGENT SUR MARNE;48.8421002;2.4917923
CENTRE HOSPITALIER DE FONTAINEBLEAU;55 BD DU MARECHAL JOFFRE;77305 FONTAINEBLEAU CEDEX;48.4118966;2.6965035
